movie_id,title,imdb_id,avg_rating,user_tags,top_relevant_tags
139,Target (1995),114618,3.1041666666666665,,
568,Bhaji on the Beach (1993),106408,3.553030303030303,"directorial debut, independent film, indian lead, woman director","england, london, indians, original, british comedy"
1900,Children of Heaven  The (Bacheha-Ye Aseman) (1997),118849,3.9916666666666667,"In Netflix queue, Iran, Majid Majidi, Middle East, Oscar Nominee: Foreign Language (Iran), Tehran, brother sister relationship, children, class, competition, disappointing, foot race, kids, overrated, poverty, race, realistic, sad, shoes, sibling relationship, siblings, slow, socks","iran, poverty, foreign, islam, heartbreaking"
2284,Bandit Queen (1994),109206,3.7064935064935063,"Shekhar Kapur, bandit, class issues, foreign, guerrilla warfare, militant, poverty, racism, sad, social issues, strong woman","brutality, poignant, indians, rape, vengeance"
5985,Asoka (Ashoka the Great) (2001),249371,2.995575221238938,"Bibliothek, Biography, History, Religion, Santosh Sivan, ancient world, buddhism, commander, emperor, historical drama, india, reue","indians, india, bollywood, cinematography, good soundtrack"
6244,Salaam Bombay! (1988),96028,3.8577348066298343,"BD-R, Bombay, In Netflix queue, India, MOTHERS AND DAUGHTERS, Mira Nair, Mumbai, brothel, dark side of India, drugs, festivals, injustice, institutions, netflix, pimps, poverty, prostitution, runaway, singing, street children, street life, tea, urban, woman director","poverty, homeless, drug abuse, prostitution, indians"
6674,War and Peace (Jang Aur Aman) (2001),311356,2.625,,
6683,Fire (1996),116308,3.6348684210526314,"Deepa Mehta, India, arranged marriage, bollywood, class issues, coming out, foreign, hinduism, homosexuality, india, indian lgbt, infidelity, lesbian, lesbian relationship, less than 300 ratings, lgbt, politics, queer, social commentary, wife husband relationship, woman director","indians, lesbian, women, social commentary, india"
8971,Veer Zaara (2004),420332,3.542056074766355,"PG, Yash Chopra, class society, india, kashmir conflict, love of one's life, netflix, pakistan, pilot, romance","indians, india, love story, bollywood, love"
27131,Dil Se (1998),164538,3.4444444444444446,"Drama, Love, Mani Ratnam, Manisha Koirala, Shahrukh Khan, Story, bomb, cyanide pill, love, love at first sight, sexuality, suicide bomber, terror, terrorist attack, terrorist bombing, violence, war trauma",
27163,Something Is Happening (Kuch Kuch Hota Hai) (1998),172684,3.76,"Romance, bollywood, childhood friends, falling in love, friendship bracelet, love, soulmates, unhappiness","bollywood, love, indians, love story, fun movie"
27326,Devdas (2002),238936,3.340909090909091,"Acting, Aishwarya Rai, Based on a book, Sanjay Leela Bhansali, Shahrukh Khan, Story, based on novel or book","stunning, bollywood, story, indians, visual"
27362,Sometimes Happiness  Sometimes Sorrow (Kabhi Khushi Kabhie Gham) (2001),248126,3.608527131782946,"Amitabh Bachcan, Comedy, Drama, Family Reltionships, Indian, Karan Johar, Multigenerational, Musical, Romance, Shahrukh Khan, bollywood, family conflict, forbidden love, parent child relationship, reunion","bollywood, family drama, indians, mother-son relationship, india"
27518,D.C.H. (Dil Chahta Hai) (2001),292490,3.8375,"bollywood, bromance, comedy, friendship","friendship, unlikely friendships, relationships, bollywood, love"
27729,Kal Ho Naa Ho (2003),347304,3.784090909090909,"Best, Heart Warming, Humour, New York City, Relentless Pure Love, Romedy, Shah Rukh Khan, bollywood, musical, new york","bollywood, new york, indians, love story, love"
30905,Bomb the System (2002),337585,2.6153846153846154,"art, corruption, graffiti, hip-hop, independent film, overly dramatic, painter, police brutality",
31600,Deceivers  The (1988),94979,3.25,"19th century, BD-R, Criterion, Nicholas Meyer, arrest, british, colonel, hindu, india, murder, muslim, revenge, secret society, tiger, wedding",
33688,Parineeta (2005),437407,3.361111111111111,PG,"indians, bollywood, amazing cinematography, stunning, original"
34435,Sholay (1975),73707,3.668639053254438,"Action, Gabbar, Hema Malini, Hindi, Ramesh Sippy, Train Fight, amitabh, bandit, bollywood, fight, masala, police, village, हिन्दी","indians, bollywood, india, storytelling, tragedy"
